stations_id,stations_id,cluster
257,257,-1
259,259,-1
755,755,-1
757,757,0
1197,1197,-1
1214,1214,0
1224,1224,0
1255,1255,2
1346,1346,0
1443,1443,0
1468,1468,-1
1584,1584,1
1602,1602,-1
2074,2074,1
2080,2080,-1
2485,2485,-1
2575,2575,-1
2638,2638,1
2712,2712,-1
2812,2812,-1
2814,2814,3
2886,2886,3
2953,2953,0
3257,3257,-1
3268,3268,1
3278,3278,2
3362,3362,2
3402,3402,2
3603,3603,-1
3734,3734,-1
3761,3761,-1
3925,3925,2
3927,3927,-1
4094,4094,-1
4160,4160,2
4169,4169,-1
4175,4175,-1
4177,4177,-1
4189,4189,-1
4300,4300,1
4349,4349,2
4703,4703,-1
4887,4887,3
4926,4926,2
4928,4928,2
4931,4931,2
71,71,1
5155,5155,3
5229,5229,1
5275,5275,-1
5562,5562,-1
5664,5664,-1
5688,5688,-1
5731,5731,-1
5906,5906,-1
6258,6258,-1
6259,6259,-1
6260,6260,-1
6262,6262,-1
6263,6263,1
6275,6275,2
7187,7187,-1
7331,7331,-1
7403,7403,-1
13674,13674,-1
13965,13965,1
15444,15444,3
