,von_datum,bis_datum,stationshoehe_x,geobreite_x,geolaenge_x,stationsname,Landkreis
132,2005-03-01,2020-04-27,628.0,13.629,48.7894,Grainet-Rehberg,Freyung-Grafenau
133,2002-01-24,2020-04-27,27.0,10.6797,53.5731,Grambek,Herzogtum Lauenburg
134,1978-01-01,2020-04-27,2.0,13.4056,54.0967,Greifswald,Vorpommern-Greifswald
135,2000-10-25,2020-04-27,12.0,13.9102,54.2437,Greifswalder Oie,Vorpommern-Greifswald
136,1989-10-01,2020-04-27,48.0,7.6969,52.1344,Münster/Osnabrück,Steinfurt
137,1991-01-01,2020-04-27,34.0,12.3238,54.0714,Groß Lüsewitz,Rostock
138,1982-11-01,2020-04-27,1436.0,13.1338,49.1129,Großer Arber,Regen
139,2007-12-01,2020-04-27,258.0,9.1854,50.2667,Gründau-Breitenborn,Main-Kinzig-Kreis
140,1981-01-01,2020-04-27,56.0,13.9338,53.3153,Grünow,Uckermark
141,2016-09-01,2020-04-27,444.0,10.2607,48.4878,Günzburg,Günzburg
142,1953-01-01,2015-03-23,93.0,11.9499,51.5138,Halle-Kröllwitz,Halle (Saale)
143,2005-05-01,2020-04-27,328.0,6.3821,49.9445,Olsdorf,Eifelkreis Bitburg-Prüm
144,1949-01-01,2020-04-27,14.0,9.9881,53.6332,Hamburg-Fuhlsbüttel,Hamburg
145,2005-03-01,2020-04-27,3.0,9.8957,53.4777,Hamburg-Neuwiedenthal,Hamburg
146,1949-01-01,2020-04-27,59.0,9.6779,52.4644,Hannover,Region Hannover
147,2002-01-01,2020-04-27,501.0,10.7062,48.7918,Harburg,Donau-Ries
148,2006-11-01,2020-04-27,201.0,10.5699,51.9002,"Harzburg, Bad",Goslar
149,1981-01-01,2020-04-27,404.0,11.1367,51.652,Harzgerode,Harz
150,2004-06-01,2020-04-27,518.0,8.98,48.3752,Hechingen,Zollernalbkreis
151,2004-07-01,2012-09-12,110.0,8.6676,49.4206,Heidelberg,Heidelberg
152,2003-01-01,2020-04-27,57.0,6.1042,51.0411,Heinsberg-Schleiden,Heinsberg
153,1952-05-01,2020-04-27,4.0,7.892,54.175,Helgoland,Pinneberg
154,2005-03-01,2012-04-02,302.0,7.3356,49.7672,Niederwörresbach,Birkenfeld
155,1951-01-01,2020-04-27,272.0,9.7378,50.8519,"Hersfeld, Bad",Hersfeld-Rotenburg
156,2010-11-01,2020-04-27,238.0,10.3695,51.6255,Herzberg,Osterode am Harz
157,2005-08-01,2020-04-27,1.0,13.1044,54.575,Hiddensee-Vitte,Vorpommern-Rügen
158,2004-10-01,2020-04-27,295.0,7.6528,50.7371,Hilgenroth,Altenkirchen (Westerwald)
159,2005-07-01,2020-04-27,270.0,14.7457,50.899,Bertsdorf-Hörnitz,Görlitz
160,1947-01-01,2020-04-27,977.0,11.0108,47.8009,Hohenpeißenberg,Weilheim-Schongau
161,2002-01-01,2020-04-27,10.0,9.539,54.3146,Hohn,Rendsburg-Eckernförde
162,2005-08-01,2020-04-27,8.0,10.6732,54.3194,Hohwacht,Plön
163,2002-11-01,2020-04-27,81.0,13.1666,51.7657,Holzdorf (Flugplatz),Elbe-Elster
164,2005-06-01,2020-04-27,685.0,11.6961,47.8823,Holzkirchen,Miesbach
165,2006-07-01,2020-04-27,110.0,9.4953,51.8529,"Bevern, Kr, Holzminden",Holzminden
166,2004-08-01,2020-04-27,328.0,7.4843,50.5651,Hümmerich,Neuwied
167,2002-01-01,2020-04-27,376.0,7.3264,49.6927,Idar-Oberstein,Birkenfeld
168,1961-01-02,2020-04-27,364.0,11.5362,48.7112,Ingolstadt (Flugplatz),Pfaffenhofen an der Ilm
169,2002-01-01,2020-04-27,21.0,9.5696,53.9897,Itzehoe,Steinburg
170,2002-01-01,2020-04-27,21.0,9.5203,54.457,Schleswig-Jagel,Schleswig-Flensburg
171,1991-08-01,2020-04-27,155.0,11.583,50.9251,Jena (Sternwarte),Jena
172,2004-09-01,2020-04-27,107.0,8.993,50.0643,Kahl/Main,Aschaffenburg
173,1951-01-01,2020-04-27,839.0,8.4891,51.1803,Kahler Asten,Hochsauerlandkreis
174,2011-05-02,2020-04-27,489.0,9.6871,48.917,Kaisersbach-Cronhütte,Rems-Murr-Kreis
175,2005-03-01,2020-04-27,271.0,7.7557,49.4262,Kaiserslautern,Kaiserslautern
176,2002-01-01,2013-10-20,31.0,6.2688,51.7329,Kalkar,Kleve
177,2004-08-01,2020-04-27,505.0,6.5264,50.5014,Kall-Sistig,Euskirchen
178,1948-01-01,2013-10-31,231.0,9.4424,51.2963,Kassel,Kassel
179,1975-06-01,2016-04-02,716.0,10.6007,47.8652,Kaufbeuren,Kaufbeuren
180,1955-01-01,2020-04-27,705.0,10.3348,47.7233,Kempten,Kempten (Allgäu)
181,2002-01-01,2020-04-27,28.0,10.1424,54.3776,Kiel-Holtenau,Kiel
182,2007-05-23,2020-04-27,426.0,9.98,49.1804,Kirchberg/Jagst-Herboldshausen,Schwäbisch Hall
183,2004-07-01,2020-04-27,12.0,11.4341,53.9995,Kirchdorf/Poel,Nordwestmecklenburg
184,1948-01-01,2020-04-27,282.0,10.0792,50.224,"Kissingen, Bad",Bad Kissingen
185,2005-03-01,2020-04-27,193.0,10.1781,49.7363,Kitzingen,Kitzingen
186,1948-01-01,2020-04-27,826.0,8.4469,50.2218,Kleiner Feldberg/Taunus,Hochtaunuskreis
187,2004-10-01,2020-04-27,732.0,10.4803,50.8458,Kleiner Inselsberg,Gotha
188,2004-07-01,2020-04-27,128.0,13.8845,51.5554,Klettwitz,Oberspreewald-Lausitz
189,2004-07-01,2020-04-27,46.0,6.0954,51.7612,Kleve,Kleve
190,1965-07-01,2020-04-27,974.0,8.7548,48.1054,Klippeneck,Tuttlingen
191,2004-09-01,2020-04-27,85.0,12.9065,51.5185,Klitzschen bei Torgau,Nordsachsen
192,1960-01-01,2020-04-27,92.0,7.1575,50.8646,Köln-Bonn,Rhein-Sieg-Kreis
193,2005-06-01,2020-04-27,289.0,10.4456,50.284,"Königshofen, Bad",Rhön-Grabfeld
194,2004-12-01,2020-04-27,416.0,11.4872,48.8302,Kösching,Eichstätt
